Mã khách hàng,Tuổi khách hàng,Thu nhập hàng năm (VND),Tình trạng sở hữu nhà,Thâm niên làm việc (năm),Mục đích khoản vay,Hạng tín dụng khoản vay,Số tiền vay đề nghị (VND),Lãi suất khoản vay (%),"Trạng thái trả nợ (0 = không vỡ nợ, 1 = vỡ nợ)",Tỷ lệ thu nhập dành cho trả nợ,Từng vỡ nợ trong hồ sơ tín dụng (Có/Không),Thời gian lịch sử tín dụng (năm),Giới tính,Tình trạng hôn nhân,Trình độ học vấn,Quốc gia cư trú,Tỉnh/Bang cư trú,Thành phố cư trú,Vĩ độ thành phố,Kinh độ thành phố,Loại hình việc làm,Thời hạn khoản vay (tháng),Tỷ lệ khoản vay trên thu nhập,Khoản nợ khác (VND),Tỷ lệ tổng nợ trên thu nhập,Số tài khoản tín dụng đang mở,Tỷ lệ sử dụng tín dụng,Số lần quá hạn trong quá khứ
CUST_14420,26,2763686060.0,3,10,5,2,130362550.0,12.98,0,0.05,1,4,1,3,0,1,7,5,29.7604,-95.3698,3,24,0.0471698113207547,458054934.2022957,0.2129103926523028,5,0.4277450441280361,0
CUST_01942,24,1955438250.0,2,2,5,1,52145020.0,9.99,0,0.03,1,2,1,1,1,2,8,14,51.6214,-3.9436,2,36,0.0266666666666666,241701658.7622402,0.1502715203419183,14,0.056538773459212,1
CUST_03943,22,1225512260.04,2,2,0,0,104290040.0,10.99,0,0.09,1,3,0,3,0,2,8,14,51.6214,-3.9436,2,12,0.0850991404986809,172897879.2063086,0.2261812698611937,13,0.6112912103012557,0
CUST_30068,37,1564350600.0,2,17,4,0,130362550.0,6.17,0,0.08,1,13,0,3,0,2,8,14,51.6214,-3.9436,3,36,0.0833333333333333,254124390.3903938,0.2457805433068481,10,0.2086273884738306,0
CUST_12669,23,2033655780.0,3,1,4,2,208580080.0,12.87,1,0.1,1,2,1,3,3,1,3,10,40.7128,-74.006,2,36,0.1025641025641025,607452426.039236,0.4012638294368754,3,0.912595001312434,1
CUST_14537,26,2854939845.0,3,11,4,4,521450199.9999999,17.56,0,0.18,1,2,0,3,1,0,0,17,48.4284,-123.3656,0,60,0.182648401826484,764431606.426486,0.4504059196478397,8,0.8087496213875068,0
CUST_27021,30,3128701200.0,3,6,2,0,365015140.0,7.88,0,0.12,1,6,0,3,3,0,0,17,48.4284,-123.3656,3,24,0.1166666666666666,791816221.6574876,0.3697481119825337,5,0.0640958071201409,3
CUST_05315,22,677885260.0,2,4,2,0,221616335.0,6.17,1,0.33,1,3,1,2,0,0,0,16,49.2827,-123.1207,3,12,0.3269230769230769,141168594.2746403,0.5351715853426882,1,0.3004164616298735,1
CUST_10876,23,1825075700.0,3,7,3,0,114719044.0,6.76,0,0.06,1,4,1,1,0,2,8,1,51.4816,-3.1791,2,60,0.0628571428571428,313455921.3271738,0.2346066880004889,4,0.2651544437147059,0
CUST_07750,22,1428773548.0,1,7,2,0,208580080.0,10.99,0,0.15,1,2,0,3,1,1,3,10,40.7128,-74.006,2,24,0.145985401459854,331333548.967001,0.3778860755945357,14,0.3636868127222227,1
CUST_06041,24,886465340.0,2,1,4,1,149916932.5,10.75,0,0.17,1,3,1,2,3,0,4,11,45.4215,-75.6972,2,36,0.1691176470588235,257104560.3580872,0.459151051363257,13,0.331645215950288,0
CUST_00189,24,1564350600.0,2,2,3,4,651812750.0,10.99,1,0.42,0,2,1,3,3,0,5,9,45.5017,-73.5673,3,36,0.4166666666666667,448522030.1490067,0.7033811858729154,10,0.6510209685857071,1
CUST_23565,31,1668640640.0,3,15,2,1,625740240.0,10.25,0,0.38,1,5,0,3,3,1,1,7,34.0522,-118.2437,2,12,0.375,436259989.9418693,0.6364463411018622,5,0.8046738728171728,2
CUST_14520,25,2841903590.0,3,6,3,0,417160160.0,6.03,0,0.15,1,2,0,3,3,0,4,15,43.6532,-79.3832,2,36,0.146788990825688,151542172.8542773,0.2001131688124147,2,0.4866595305626209,0
CUST_28126,34,3389426300.0,3,5,0,4,130362550.0,17.56,0,0.04,0,8,1,1,3,0,5,12,46.8139,-71.208,2,60,0.0384615384615384,960040526.8891581,0.3217072685395632,2,0.4617166462080141,0
CUST_27237,28,3347710284.0,3,3,0,2,104290040.0,13.35,0,0.03,0,8,1,1,3,0,0,16,49.2827,-123.1207,2,36,0.0311526479750778,483791286.3409398,0.1756667323189846,8,0.1237548688835212,0
CUST_08310,25,1268662264.09,2,4,2,1,195543825.0,10.99,0,0.15,1,4,1,3,3,2,2,8,53.4808,-2.2426,3,60,0.1541338704042417,92575648.95617995,0.2271049451942558,11,0.3319344532956166,1
CUST_04669,23,1251480480.0,2,7,3,0,255510598.0,7.88,0,0.2,1,4,1,3,3,0,5,9,45.5017,-73.5673,2,36,0.2041666666666666,367471832.8868952,0.4977963626623206,10,0.1567553378386051,0
CUST_02950,25,782175300.0,2,1,2,1,80172968.25,10.59,0,0.1,1,2,1,1,1,2,8,1,51.4816,-3.1791,1,12,0.1025,155095682.1555007,0.3007876244692216,7,0.1403222291813258,0
CUST_15825,26,4745196820.0,3,10,5,1,625740240.0,10.99,0,0.13,1,4,0,1,1,0,4,15,43.6532,-79.3832,0,36,0.1318681318681318,1340372422.239532,0.4143374314744508,6,0.7962493977211458,0
CUST_18880,34,1303625500.0,2,5,4,2,39108765.0,13.92,0,0.03,1,5,1,1,0,0,0,16,49.2827,-123.1207,0,36,0.03,349843160.6933131,0.2983617041039109,15,0.3622918751849282,0
CUST_26609,27,2815831080.0,3,11,2,1,563166216.0,10.99,0,0.2,1,10,1,1,1,2,6,4,55.8642,-4.2518,0,60,0.2,705913084.1827799,0.4506944003838397,3,0.15284265094702,2
CUST_15806,24,4588866050.04,3,2,3,1,83432032.0,10.0,0,0.02,1,4,0,3,2,1,1,13,37.7749,-122.4194,0,24,0.0181814049680689,771453656.982948,0.1862956293909464,7,0.2430306501020205,2
CUST_10626,24,1657742330.82,3,3,1,2,365015140.0,13.85,1,0.22,1,3,0,3,1,1,1,13,37.7749,-122.4194,0,60,0.2201881035513195,268529406.2275839,0.3821731124608501,9,0.2499224861222582,0
CUST_16106,25,2049299286.0,2,0,5,2,219009084.0,13.48,0,0.11,1,4,1,1,3,2,2,6,51.5074,-0.1278,2,36,0.1068702290076335,388248229.4916989,0.2963243668898144,6,0.4189222662470607,0
CUST_10250,26,1538278090.0,2,3,2,0,250296096.0,7.49,1,0.16,1,3,1,2,0,2,2,6,51.5074,-0.1278,3,36,0.1627118644067796,126420976.0076761,0.244895298487724,4,0.4467984504568606,0
CUST_16571,25,4015166540.0,3,4,0,0,318736434.75,7.49,0,0.08,1,4,1,3,0,2,8,1,51.4816,-3.1791,0,24,0.0793831168831168,203599350.5515625,0.1300906899123448,13,0.9136332389804702,0
CUST_21734,28,1329698010.0,2,5,3,1,156435060.0,12.69,0,0.12,1,5,0,1,2,1,7,5,29.7604,-95.3698,0,36,0.1176470588235294,217917315.7907224,0.2815318763925371,2,0.5982579994991043,0
CUST_23053,30,1199335460.0,2,5,3,0,208580080.0,7.14,0,0.17,1,10,0,1,1,0,4,11,45.4215,-75.6972,0,36,0.1739130434782608,102304819.4846847,0.2592142981286359,14,0.1643045658499833,1
CUST_25180,30,2092475362.56,1,11,4,0,625740240.0,7.49,0,0.3,1,7,0,1,0,2,8,14,51.6214,-3.9436,3,36,0.2990430622009569,406752858.1255143,0.4934314241398426,2,0.374920750927955,0
CUST_04926,24,1042900400.0,2,6,5,0,130362550.0,6.17,0,0.13,1,3,0,3,3,1,3,10,40.7128,-74.006,0,36,0.125,180950266.2896039,0.2985067570111239,1,0.5031793087382116,0
CUST_31910,41,9945358939.5,3,10,5,2,912537850.0,13.49,0,0.09,0,14,1,3,0,2,2,6,51.5074,-0.1278,2,12,0.09175514484205,1460024245.609265,0.2385597251986708,2,0.4182026617292942,0
CUST_28773,27,1564350600.0,2,11,2,1,46930518.0,11.46,0,0.03,1,8,0,1,1,0,0,17,48.4284,-123.3656,0,36,0.03,159216477.2980271,0.1317780012345231,9,0.171457559132875,1
CUST_05852,23,1225407970.0,3,1,4,0,156435060.0,5.99,0,0.13,1,2,0,3,0,0,0,16,49.2827,-123.1207,2,36,0.1276595744680851,111078977.4277416,0.2183061021120514,8,0.1801354688170061,1
CUST_02229,21,808247810.0,3,5,0,0,156435060.0,7.51,0,0.19,1,4,0,3,0,1,1,7,34.0522,-118.2437,2,12,0.1935483870967742,203537871.9026117,0.4453744599723837,5,0.733730777977586,0
CUST_05067,23,1095045420.0,2,0,3,2,130362550.0,10.99,1,0.12,0,2,1,1,3,0,4,11,45.4215,-75.6972,0,60,0.119047619047619,113251394.7442748,0.2224692604479134,13,0.3736458102205004,0
CUST_14573,21,2867976100.0,3,0,4,1,365015140.0,9.99,0,0.13,1,2,0,3,0,2,2,8,53.4808,-2.2426,0,24,0.1272727272727272,575006632.6075484,0.327764855713947,14,0.3005187551924901,0
CUST_28473,27,2033655780.0,1,4,5,1,156435060.0,12.18,0,0.08,1,5,1,3,3,2,8,1,51.4816,-3.1791,2,36,0.0769230769230769,543490299.261724,0.3441710077709041,6,0.2804320642921338,1
CUST_13575,23,2450815940.0,3,1,0,0,338942630.0,6.03,0,0.14,1,4,0,2,1,1,1,13,37.7749,-122.4194,2,24,0.1382978723404255,599536254.9421488,0.382925077981233,6,0.2539028395398457,0
CUST_29828,48,1303729790.04,2,8,2,0,104290040.0,7.68,0,0.08,1,11,0,1,0,1,1,7,34.0522,-118.2437,2,36,0.079993600511959,132517395.7337121,0.1816384327050212,11,0.2082111669003118,0
CUST_17404,22,625740240.0,1,3,4,1,65181274.99999999,10.59,0,0.1,1,2,1,1,0,0,5,9,45.5017,-73.5673,2,60,0.1041666666666666,120838734.1119101,0.297279920997106,1,0.9353679814837664,0
CUST_10919,24,1825075700.0,1,0,2,1,391087650.0,12.18,0,0.21,1,2,1,3,3,0,0,16,49.2827,-123.1207,0,36,0.2142857142857142,187935913.825579,0.3172600258858189,15,0.9148904628198636,1
CUST_01449,24,469305180.0,2,0,2,1,31287012.0,11.89,0,0.07,1,4,0,1,0,2,8,14,51.6214,-3.9436,2,60,0.0666666666666666,97451793.38079397,0.2743178870959702,12,0.8799789746713517,0
CUST_28655,31,9169675694.49,2,7,1,3,273761355.0,15.7,0,0.03,1,9,1,3,1,0,5,12,46.8139,-71.208,2,36,0.029855074936238,1712030445.080229,0.216560745029781,10,0.1366362375199361,0
CUST_03841,23,860392830.0,2,3,3,1,104290040.0,10.96,0,0.12,1,4,1,1,1,1,7,5,29.7604,-95.3698,2,24,0.1212121212121212,166973290.6609778,0.3152784649088461,7,0.2814691815047677,1
CUST_09355,26,1595637612.0,1,4,1,2,39108765.0,12.84,0,0.02,0,2,1,3,0,1,7,2,32.7767,-96.797,1,60,0.0245098039215686,282077434.2920506,0.2012901907529432,7,0.7634782068595476,0
CUST_23329,30,1611281118.0,3,6,3,1,521450199.9999999,11.36,0,0.32,1,8,1,1,0,1,1,7,34.0522,-118.2437,0,24,0.3236245954692556,239881864.6219835,0.472501077631311,11,0.7496954633950896,1
CUST_03180,21,1068972910.0,2,4,2,1,91253785.0,10.75,0,0.09,1,3,0,3,2,2,6,3,55.9533,-3.1883,2,24,0.0853658536585365,83805990.90310135,0.1637644642492402,11,0.1584396488413043,0
CUST_12301,23,2085800800.0,3,1,2,2,312870120.0,13.48,0,0.15,0,4,0,2,3,2,6,3,55.9533,-3.1883,2,36,0.15,514179141.2375736,0.3965140205323412,9,0.373801035325763,1
CUST_31664,40,3128701200.0,3,6,0,1,250296096.0,10.59,0,0.08,1,14,0,3,3,1,1,7,34.0522,-118.2437,0,36,0.08,813849012.6501178,0.3401235978207563,1,0.8958893929176005,1
CUST_25443,29,1851148210.0,2,1,3,2,312870120.0,13.16,0,0.17,0,9,1,3,3,1,7,5,29.7604,-95.3698,2,60,0.1690140845070422,318830852.9814923,0.3412481883238794,6,0.10008979197111,0
CUST_32016,38,2732399048.0,3,6,4,0,365015140.0,6.03,0,0.13,1,14,0,2,3,0,4,11,45.4215,-75.6972,1,36,0.1335877862595419,489019200.5867895,0.3125584241481516,6,0.8010811355771856,0
CUST_10744,22,1825075700.0,1,4,4,0,32590637.5,5.42,0,0.02,1,4,0,3,3,1,1,13,37.7749,-122.4194,0,60,0.0178571428571428,166012687.5420851,0.1088192259872207,12,0.3856381377963712,1
CUST_00622,24,1342734265.0,2,6,4,1,521450199.9999999,12.21,1,0.39,1,4,0,1,3,0,0,17,48.4284,-123.3656,2,36,0.3883495145631068,94170007.26917797,0.4584825332279563,15,0.6749831027582811,1
CUST_30543,36,2085800800.0,2,0,5,2,198151076.0,13.49,0,0.1,1,15,0,3,0,2,2,8,53.4808,-2.2426,2,36,0.095,436654852.8144538,0.3043463828446388,5,0.9475828773485496,0
CUST_20061,32,990755379.9999999,3,16,4,1,260725100.0,10.37,0,0.26,1,6,0,1,3,1,1,7,34.0522,-118.2437,2,60,0.2631578947368421,60718641.90015053,0.3244430950252832,7,0.8202491358307179,0
CUST_13369,26,2033655780.0,3,10,2,0,260725100.0,9.63,1,0.13,1,4,0,3,0,1,1,13,37.7749,-122.4194,3,24,0.1282051282051282,556796472.6792661,0.40199604117825,8,0.4347630971235947,0
CUST_30229,36,1303625500.0,3,8,3,0,260725100.0,6.03,0,0.2,1,13,1,3,3,2,2,6,51.5074,-0.1278,3,24,0.2,289460265.624977,0.4220425004151705,10,0.3890197552724702,1
CUST_07609,23,1407915540.0,3,8,4,0,78217530.0,5.42,0,0.06,1,2,1,1,0,2,2,8,53.4808,-2.2426,2,36,0.0555555555555555,164036942.5895153,0.1720660548924087,8,0.6680035296856123,0
CUST_21799,33,1603459365.0,2,7,2,0,156435060.0,5.79,0,0.1,1,10,1,3,3,1,7,5,29.7604,-95.3698,3,36,0.0975609756097561,163613317.405112,0.1995986829420601,7,0.6752216476696631,0
CUST_19940,35,808247810.0,3,2,0,1,231393526.25,11.99,1,0.29,1,7,0,2,0,2,8,14,51.6214,-3.9436,2,60,0.2862903225806452,153572535.1143628,0.4762970670645712,8,0.5818540040095184,0
CUST_09643,26,1251480480.0,2,4,3,1,219009084.0,11.12,0,0.17,1,2,1,1,3,0,4,15,43.6532,-79.3832,3,24,0.175,202370718.1664861,0.3367050536549208,9,0.7896652088233784,1
CUST_24219,33,1825075700.0,3,0,3,2,78217530.0,13.57,0,0.04,0,9,0,1,3,0,5,12,46.8139,-71.208,2,36,0.0428571428571428,512273671.9514788,0.3235434025840566,4,0.553119220240304,0
CUST_19588,31,1746858170.0,2,2,4,0,78217530.0,7.51,0,0.04,1,10,0,2,3,2,8,1,51.4816,-3.1791,2,36,0.044776119402985,490212834.9307324,0.3254015550276372,2,0.7850577222585045,1
CUST_09382,24,1610785740.31,3,6,2,1,464090678.0,10.25,0,0.29,1,3,1,1,3,2,2,6,51.5074,-0.1278,2,36,0.2881144688496463,229606837.724384,0.4306578450284022,9,0.9134866974367696,1
CUST_16447,22,834320320.0,2,1,2,3,140791554.0,16.29,1,0.17,0,2,0,2,3,0,4,11,45.4215,-75.6972,2,36,0.16875,149265458.0330684,0.3476566554594623,11,0.3060469662984728,0
CUST_22796,27,1512205580.0,3,11,5,1,84735657.5,11.86,0,0.06,1,8,1,3,1,0,0,16,49.2827,-123.1207,0,60,0.0560344827586206,295781125.6867297,0.2516303260742695,10,0.4203664982695351,0
CUST_31628,41,2998338650.0,3,2,0,3,521450199.9999999,14.61,0,0.17,1,11,0,2,3,0,0,17,48.4284,-123.3656,2,60,0.1739130434782608,878069782.7673684,0.4667651476818232,2,0.4111639341547521,0
CUST_07052,21,1329698010.0,3,5,0,0,156435060.0,7.88,0,0.12,1,2,0,1,3,2,6,3,55.9533,-3.1883,1,24,0.1176470588235294,145887468.9025751,0.2273617969109957,6,0.6788071583005675,0
CUST_22942,28,1564350600.0,3,8,5,1,521450199.9999999,11.71,0,0.33,1,5,0,3,3,1,3,10,40.7128,-74.006,2,24,0.3333333333333333,437764218.4710101,0.613170997902267,8,0.0816575069487225,0
CUST_07905,23,1433988050.0,3,4,2,0,208580080.0,7.49,0,0.15,1,4,1,3,3,1,7,5,29.7604,-95.3698,0,12,0.1454545454545454,159424813.5397948,0.2566303767592727,6,0.389613143534979,1
CUST_03499,24,1628671482.17,2,0,1,0,277020418.75,8.49,0,0.17,1,2,0,1,3,2,8,14,51.6214,-3.9436,2,24,0.1700898074183168,464792397.6694442,0.4554711152865965,11,0.6450551135084434,1
CUST_29450,50,756102790.0,2,1,0,1,39108765.0,10.39,1,0.05,1,15,1,0,0,0,0,17,48.4284,-123.3656,2,12,0.0517241379310344,136861830.5871765,0.2327336942999198,10,0.5775279839944586,0
CUST_31631,46,2711541040.0,3,1,2,4,782175300.0,18.39,1,0.29,1,15,1,3,1,0,5,12,46.8139,-71.208,0,60,0.2884615384615384,275884298.9632064,0.3902060058671309,6,0.4465025666215448,0
CUST_21209,29,1188906456.0,3,9,0,0,52145020.0,7.88,0,0.04,1,10,1,1,1,0,4,15,43.6532,-79.3832,2,36,0.043859649122807,292195062.4332102,0.2896275654787177,11,0.6078056930100766,0
CUST_17026,23,1877220720.0,2,7,3,1,260725100.0,10.59,0,0.14,1,3,1,0,0,2,2,6,51.5074,-0.1278,2,36,0.1388888888888889,561393565.4870394,0.4379445936901013,5,0.1607583028731039,1
CUST_12192,23,2085800800.0,3,4,5,1,208580080.0,10.99,0,0.1,1,3,0,3,3,2,2,6,51.5074,-0.1278,2,36,0.1,506419022.5372329,0.3427935699982629,5,0.230427757813316,0
CUST_18812,27,1147190440.0,2,3,5,2,31287012.0,15.23,0,0.03,1,5,1,3,1,1,7,5,29.7604,-95.3698,3,36,0.0272727272727272,219371474.951524,0.2184977125084167,13,0.8391931523368436,0
CUST_12639,25,750888288.0,2,2,3,1,78217530.0,12.42,0,0.1,1,2,0,3,1,0,5,9,45.5017,-73.5673,2,36,0.1041666666666666,160209518.1696578,0.3175266574002787,7,0.5472437283980751,0
CUST_08360,21,1491347572.0,3,5,3,0,208580080.0,6.03,0,0.14,1,2,0,3,3,1,7,5,29.7604,-95.3698,0,60,0.1398601398601398,263217222.9120561,0.3163563690785667,13,0.6618258707223901,0
CUST_26050,28,2476888450.0,3,0,3,0,469305180.0,7.88,0,0.19,1,10,1,3,1,2,2,8,53.4808,-2.2426,2,60,0.1894736842105263,151369858.6062593,0.2505865932744203,8,0.8067295295610671,0
CUST_21517,30,1251480480.0,3,9,2,0,78217530.0,7.4,0,0.06,1,7,0,2,0,1,1,13,37.7749,-122.4194,2,36,0.0625,282316295.0054125,0.2880858557261816,1,0.5053983018772819,0
CUST_30039,40,1173262950.0,3,5,1,0,93861036.0,6.62,0,0.08,1,13,1,3,3,2,2,8,53.4808,-2.2426,2,12,0.08,303709208.8396181,0.3388586035548283,4,0.9114847096897464,0
CUST_05878,22,1148546210.52,2,3,3,3,143398805.0,10.99,1,0.12,0,2,1,3,3,2,6,3,55.9533,-3.1883,3,60,0.1248524471079633,313254993.8135104,0.3975928827511104,12,0.4434896818112852,1
CUST_08110,22,1955438250.0,2,2,4,2,187722072.0,13.61,0,0.1,1,4,0,1,3,1,3,0,42.8864,-78.8784,2,60,0.096,395679184.8586058,0.2983480848135223,2,0.10992550460925,0
CUST_08737,24,1564350600.0,3,9,1,1,39108765.0,12.42,0,0.03,1,2,1,1,3,0,4,15,43.6532,-79.3832,3,24,0.025,186442945.9929015,0.1441823277933357,3,0.2841363115920294,0
CUST_14869,24,3076556180.0,3,4,4,0,730030280.0,7.9,0,0.24,1,4,1,3,1,2,2,8,53.4808,-2.2426,2,24,0.2372881355932203,616080726.7468189,0.4375382499099428,13,0.4593551319111437,1
CUST_16129,26,487555936.9999999,2,2,5,0,39108765.0,5.42,0,0.08,1,3,0,1,3,0,4,15,43.6532,-79.3832,2,60,0.0802139037433155,88124800.46163747,0.2609619857047038,9,0.8678090623674181,0
CUST_29928,47,3650151400.0,2,4,4,2,260725100.0,10.99,0,0.07,0,13,1,3,3,2,2,8,53.4808,-2.2426,2,36,0.0714285714285714,585130724.3779012,0.2317317096430305,1,0.4985220679117035,0
CUST_28334,28,1381843030.0,2,0,0,1,182507570.0,9.88,0,0.13,1,6,0,3,0,2,6,3,55.9533,-3.1883,2,60,0.1320754716981132,379034289.5696969,0.4063716698485622,8,0.7141839657639655,0
CUST_25019,32,1694713150.0,2,2,1,2,302441116.0,13.49,0,0.18,0,8,0,2,3,2,2,6,51.5074,-0.1278,2,36,0.1784615384615384,224987850.4705943,0.3112202005811982,11,0.4698432453090046,2
CUST_15683,24,4015166540.0,3,8,3,0,156435060.0,5.79,0,0.04,1,4,1,2,1,0,5,9,45.5017,-73.5673,0,36,0.0389610389610389,312032368.9511455,0.116674470232845,6,0.445358345593846,0
CUST_13341,23,1929365740.0,2,7,4,3,73003028.0,15.21,1,0.04,0,2,0,1,1,2,2,6,51.5074,-0.1278,2,36,0.0378378378378378,215009311.2629625,0.1492782489560338,13,0.8456233551537705,1
CUST_18047,31,4953776900.0,1,8,2,0,391087650.0,6.03,0,0.08,1,8,1,3,0,2,6,3,55.9533,-3.1883,2,24,0.0789473684210526,1013404897.93112,0.2835195399960624,8,0.9011343271356864,1
CUST_24832,27,1568887216.74,3,11,5,1,78869342.75,10.99,1,0.04,1,10,0,2,3,2,8,1,51.4816,-3.1791,3,60,0.0502708811114434,210518149.1392576,0.1844539803763445,1,0.7533851529429141,0
CUST_19198,29,1679121789.02,2,1,3,0,351978885.0,7.49,0,0.21,1,8,1,1,3,2,6,4,55.8642,-4.2518,3,60,0.2096208192292165,155300034.1732988,0.3021096638078684,1,0.5639687888081775,0
CUST_19984,27,912537850.0,2,5,5,2,270502291.25,14.27,0,0.3,1,5,0,3,3,0,0,17,48.4284,-123.3656,3,12,0.2964285714285714,178936094.6313156,0.4925147881606397,8,0.3336820191646231,0
CUST_06516,22,1303625500.0,3,6,3,0,312870120.0,7.9,0,0.24,1,4,0,3,1,0,5,9,45.5017,-73.5673,0,36,0.24,234900561.4614528,0.4201902167926699,6,0.9074473912086236,0
CUST_02220,24,808143519.9599999,1,4,2,0,208580080.0,7.51,0,0.26,1,3,1,3,0,0,5,12,46.8139,-71.208,0,60,0.2580978190734288,54636888.27028232,0.3257057215323716,2,0.9034140342863484,0
CUST_11064,24,1877220720.0,3,8,0,0,469305180.0,7.9,0,0.25,1,2,1,3,0,1,7,2,32.7767,-96.797,0,24,0.25,199918986.0707908,0.3564973255093789,14,0.649684452736915,1
CUST_18406,29,558577454.24,3,1,2,0,202061952.5,7.51,1,0.36,1,10,1,3,0,0,0,16,49.2827,-123.1207,2,60,0.3617438386855862,80715215.39277123,0.5062452230148057,6,0.4000236592477371,1
CUST_21125,27,1694713150.0,2,12,3,2,130362550.0,13.99,0,0.08,0,9,0,2,0,0,5,9,45.5017,-73.5673,2,24,0.0769230769230769,208748609.8332281,0.2000994444595111,1,0.1705216539397608,0
CUST_12188,24,2085800800.0,3,4,4,0,78217530.0,6.99,0,0.04,1,2,1,3,3,2,8,14,51.6214,-3.9436,0,36,0.0375,449512596.2270311,0.2530107986472299,5,0.5892762751214543,2
CUST_17442,22,1303625500.0,3,6,4,0,203365578.0,6.62,0,0.16,1,2,1,3,3,1,3,10,40.7128,-74.006,3,24,0.156,217516137.1510111,0.322854773208265,1,0.5828993536445248,1
CUST_20125,28,719601276.0,2,8,3,2,104290040.0,15.23,0,0.14,1,8,1,3,0,2,8,14,51.6214,-3.9436,0,60,0.144927536231884,189528074.7451342,0.4083068284402739,2,0.7533545417422356,0
CUST_22539,29,1955438250.0,2,2,3,0,187722072.0,7.9,0,0.1,1,10,1,3,3,1,7,5,29.7604,-95.3698,2,36,0.096,514459628.4133344,0.3590917281143162,6,0.658392887466875,1
CUST_11988,24,1303625500.0,2,0,4,2,292012112.0,13.85,0,0.22,0,3,0,3,0,1,7,2,32.7767,-96.797,3,60,0.224,184400015.4773996,0.3654516787815209,11,0.8171873354888627,1
CUST_22795,30,1512205580.0,3,2,5,0,344157132.0,10.99,0,0.23,1,10,1,3,0,0,0,16,49.2827,-123.1207,0,36,0.2275862068965517,220970532.454577,0.373710871014361,12,0.2180419481317411,1
CUST_26889,35,688314264.0,1,19,4,0,172078566.0,5.99,0,0.25,1,8,0,3,0,1,7,5,29.7604,-95.3698,2,24,0.25,186124622.7614608,0.5204064589332129,6,0.9081520532112396,0
