Lãi suất khoản vay (%),Tỷ lệ khoản vay trên thu nhập,Tỷ lệ tổng nợ trên thu nhập,Thu nhập hàng năm (VND),Tình trạng sở hữu nhà,Từng vỡ nợ trong hồ sơ tín dụng (Có/Không),Số tiền vay đề nghị (VND),Mục đích khoản vay,"Trạng thái trả nợ (0 = không vỡ nợ, 1 = vỡ nợ)"
14.96,0.119047619047619,0.3423848616560703,1095045420.0,2,0,130362550.0,4,1
13.92,0.0888888888888888,0.2032762075163435,5866314750.0,3,1,521450199.9999999,0,0
10.99,0.1470588235294117,0.2639759984579662,1772930680.0,3,1,260725100.0,2,0
10.99,0.3678524230575348,0.5581297638703935,1913696161.49,2,1,703957770.0,2,1
15.57,0.244140625,0.4670347782818552,2669825024.0,3,1,651812750.0,2,0
13.23,0.1022494887525562,0.1664847370659894,2549891478.0,3,0,260725100.0,0,0
8.49,0.0967716962142912,0.1823027905574605,4041343340.04,3,1,391087650.0,4,0
10.99,0.3619691119691119,0.5534011726689202,648266888.64,1,1,234652590.0,4,0
12.21,0.376081233546446,0.6337176661711131,277307216.36,2,1,104290040.0,0,1
17.04,0.2083333333333333,0.4735071407312264,750888288.0,2,0,156435060.0,4,1
6.54,0.1128787878787878,0.2526541238464835,860392830.0,2,1,97120099.75,3,0
13.99,0.2050520059435364,0.3440983829790676,1754679923.0,2,1,359800638.0,1,0
12.69,0.0714285714285714,0.1537451225513118,1095045420.0,2,1,78217530.0,5,0
10.36,0.2,0.3691403175583037,1303625500.0,2,1,260725100.0,1,0
6.62,0.1893939393939394,0.4815134032500145,1101302822.4,1,1,208580080.0,1,0
17.49,0.1103296097090056,0.2541155327483959,756207080.04,2,0,83432032.0,1,1
5.42,0.0439583333333333,0.2746782249270291,3128701200.0,1,1,137532490.25,2,0
13.85,0.04,0.1659918518278657,13036255000.0,3,0,521450199.9999999,3,0
10.65,0.4625,0.5828227985205584,521450199.9999999,1,1,241170717.5,0,0
9.91,0.0952380952380952,0.3894234240840554,1642568130.0,3,1,156435060.0,4,0
9.25,0.1904761904761904,0.3453730524414853,1095045420.0,2,1,208580080.0,4,0
5.79,0.225,0.5011143873635331,2085800800.0,3,1,469305180.0,0,0
10.99,0.0267857142857142,0.2194394740826715,1460060560.0,3,1,39108765.0,2,0
10.99,0.2557544757033248,0.4327021261995199,2038870282.0,3,0,521450199.9999999,5,1
7.51,0.136986301369863,0.2245899195395007,1903293230.0,3,1,260725100.0,3,0
6.99,0.2083333333333333,0.2599309806747837,1877220720.0,1,1,391087650.0,0,0
9.63,0.1393534002229654,0.437278859938046,748385327.04,2,1,104290040.0,3,0
8.0,0.0701754385964912,0.2767869823583764,1486133070.0,3,1,104290040.0,1,0
10.0,0.1197604790419161,0.4011645442048933,1306232751.0,2,1,156435060.0,3,0
6.62,0.4135416666666666,0.6616417747034655,625740240.0,2,1,258769661.75,3,1
11.14,0.0731635937957272,0.2097558012428906,1069077200.04,2,1,78217530.0,5,0
11.58,0.0888888888888888,0.3146591653421238,1642568130.0,2,1,146006056.0,2,0
10.25,0.096938775510204,0.2369711213139327,1277552990.0,3,1,123844422.5,5,0
11.12,0.1142857142857142,0.2402802838411033,1825075700.0,3,1,208580080.0,3,0
9.96,0.1379310344827586,0.4037946639259419,756102790.0,2,1,104290040.0,5,1
7.88,0.2068965517241379,0.4279083384108981,756102790.0,2,1,156435060.0,2,1
13.35,0.189465706707086,0.3053143051625694,2476992740.04,3,1,469305180.0,5,0
11.36,0.199074074074074,0.4472654127118204,1126332432.0,2,1,224223586.0,4,0
14.96,0.201030280185953,0.431700518280476,830044428.3599999,2,0,166864064.0,2,1
10.99,0.1030405405405405,0.3828144312569529,1929365740.0,3,1,198802888.75,0,0
10.99,0.096,0.221192608208628,1955438250.0,3,0,187722072.0,2,0
11.49,0.0178571428571428,0.3145176446024653,1460060560.0,2,1,26072510.0,2,0
7.29,0.0923020121838656,0.3433332537449332,1694817440.04,2,1,156435060.0,3,0
9.91,0.0535714285714285,0.1858371710581845,2920121120.0,3,1,156435060.0,3,0
12.73,0.35,0.5902024152144808,1042900400.0,2,1,365015140.0,5,1
13.22,0.2232233451032915,0.3116799560039738,1284801147.78,2,0,286797610.0,3,0
20.3,0.081081081081081,0.3764498786232601,964682870.0,2,1,78217530.0,3,1
13.72,0.1176470588235294,0.3863369423550478,2216163350.0,2,0,260725100.0,0,0
10.62,0.2586206896551724,0.3908097912783477,1512205580.0,3,1,391087650.0,3,1
9.32,0.0838281522878099,0.3652961940261836,3732279806.5,3,1,312870120.0,4,0
11.89,0.0368824818748946,0.1701016275692698,2474176908.96,3,1,91253785.0,1,0
12.69,0.0786516853932584,0.3577629904811283,6961360170.0,3,1,547522710.0,3,0
10.99,0.1921052631578947,0.2535718192439403,990755380.0,2,1,190329323.0,5,0
14.09,0.2756141402037148,0.3771954787048474,1087875479.75,2,0,299833865.0,4,0
11.99,0.32,0.3735606401549202,651812750.0,2,1,208580080.0,5,1
10.74,0.3645,0.6346395309276468,1303625500.0,2,1,475171494.75,4,1
16.02,0.2272727272727272,0.4231847751563451,1720785660.0,2,1,391087650.0,0,1
11.99,0.0526284133285215,0.2824746065000063,1733926205.04,2,1,91253785.0,1,0
10.75,0.1923136096495276,0.3198835639696308,3389322009.96,2,1,651812750.0,0,0
7.29,0.08671875,0.248077597789365,1668640640.0,3,1,144702430.5,4,0
10.99,0.3667167846272324,0.5424274878969202,1421942550.38,3,1,521450199.9999999,4,0
11.89,0.2142979598834219,0.3055655096591863,1824971409.96,2,1,391087650.0,2,0
12.53,0.2464285714285714,0.3009089183238764,547522710.0,2,1,134925239.25,4,0
10.99,0.1666666666666666,0.2656386547460773,1564350600.0,1,1,260725100.0,4,0
9.88,0.3541666666666667,0.5508414406641218,625740240.0,2,1,221616335.0,4,1
12.53,0.2449179524859172,0.4373827238165982,1277448699.96,2,1,312870120.0,4,0
9.99,0.06,0.2147895385667184,1564350600.0,2,1,93861036.0,2,0
11.83,0.0892857142857142,0.3359371118886656,876036336.0,1,1,78217530.0,4,0
7.49,0.1846064814814814,0.3376543550672004,1126332432.0,3,1,207928267.25,4,0
10.62,0.1562304711911011,0.3780926324456655,834424610.04,2,1,130362550.0,4,0
12.42,0.2038043478260869,0.4180885489077379,1918936736.0,3,1,391087650.0,1,0
14.17,0.0227272727272727,0.2580530770351,1147190440.0,2,1,26072510.0,4,1
5.79,0.08,0.142140867810578,3259063750.0,3,1,260725100.0,4,0
10.99,0.1346153846153846,0.3942269635553349,2711541040.0,3,1,365015140.0,1,0
10.62,0.2083333333333333,0.4191773029833469,1251480480.0,2,1,260725100.0,5,0
8.0,0.1100190699721285,0.2229984455832948,2132835608.04,3,1,234652590.0,3,0
14.65,0.0476190476190476,0.1627519823469595,1095045420.0,2,1,52145020.0,3,0
10.99,0.2179487179487179,0.3753961477614153,2033655780.0,2,1,443232670.0,4,0
12.53,0.2360655737704918,0.4155587611757106,1590423110.0,2,1,375444144.0,0,0
10.99,0.2166666666666666,0.4390363159915783,782175300.0,2,1,169471315.0,4,0
11.89,0.2222222222222222,0.4515131058001878,1173262950.0,2,1,260725100.0,5,0
15.23,0.1111111111111111,0.268247370494818,1407915540.0,3,1,156435060.0,5,1
7.88,0.136,0.4227264535001688,3259063750.0,3,1,443232670.0,4,0
9.91,0.0768278629049468,0.219011724011169,1221705673.58,3,1,93861036.0,0,0
17.99,0.123076923076923,0.3598831818324717,1016827890.0,2,1,125148048.0,0,1
18.39,0.05,0.1060689931837784,1825075700.0,2,0,91253785.0,0,0
6.92,0.0840982267288192,0.1496279559118378,2170171442.36,2,1,182507570.0,2,0
10.99,0.2449748743718593,0.36038117022548,1037685898.0,3,1,254206972.5,5,0
11.36,0.3882252559726962,0.4806884601030806,1527849086.0,2,1,593149602.5,5,1
6.03,0.0666666666666666,0.3051897732161723,1955438250.0,3,1,130362550.0,2,0
9.76,0.4666666666666667,0.6081394058306435,1173262950.0,1,1,547522710.0,4,0
10.37,0.125,0.3117839075417545,1772930680.0,2,1,221616335.0,5,0
10.62,0.1846153846153846,0.4255071542072348,1694713150.0,3,1,312870120.0,0,0
7.29,0.234375,0.401862634212121,3337281280.0,2,1,782175300.0,0,0
10.99,0.15625,0.409974355057832,500592191.9999999,2,0,78217530.0,1,1
10.62,0.1145833333333333,0.2624899071315421,1251480480.0,2,1,143398805.0,2,1
10.95,0.4998000799680128,0.7921761701469641,521658780.08,2,1,260725100.0,2,1
6.91,0.125,0.1818517963779741,1668640640.0,3,1,208580080.0,1,0
12.53,0.1018922852983988,0.1904874425636435,1791181437.0,2,1,182507570.0,4,0
14.96,0.1923076923076923,0.4465628759327592,2033655780.0,2,1,391087650.0,3,1
10.99,0.2448979591836734,0.5109743830196465,2555105980.0,2,0,625740240.0,3,1
7.49,0.14,0.4311621508927865,1564350600.0,2,1,219009084.0,4,0
13.04,0.2208333333333333,0.3652696079592544,1877220720.0,2,1,414552909.0,3,0
11.71,0.16,0.3843371843168658,1303625500.0,2,1,208580080.0,4,0
10.0,0.0551146384479717,0.2143774771781185,1655708675.04,2,1,91253785.0,5,0
10.99,0.0375951156425757,0.2750531429476832,3467539539.96,3,1,130362550.0,4,0
9.2,0.0795454545454545,0.1315679916948491,2294380880.0,3,1,182507570.0,3,0
10.25,0.3666666666666666,0.4303261567292781,1564350600.0,2,1,573595220.0,3,1
7.88,0.1186440677966101,0.2888765145703403,3076556180.0,1,1,365015140.0,4,0
7.51,0.161038961038961,0.4110843737244456,2007583270.0,3,1,323299124.0,4,0
10.28,0.1237113402061855,0.2970052055040204,2529033470.0,3,1,312870120.0,1,0
6.62,0.25,0.3678582917684032,625740240.0,2,1,156435060.0,5,0
16.77,0.1,0.2501858289187772,938610360.0,3,0,93861036.0,0,0
12.18,0.2473614775725593,0.4054162596041907,790518503.1999999,2,1,195543825.0,0,1
7.4,0.0394736842105263,0.2705014516346001,990755380.0,2,1,39108765.0,5,0
5.42,0.0625062506250625,0.1974721405868962,1042796109.96,3,1,65181274.99999999,1,0
7.51,0.1441666666666666,0.2888099114418732,1564350600.0,3,1,225527211.5,5,0
15.62,0.2115384615384615,0.3181033482436678,1355770520.0,2,0,286797610.0,1,1
14.11,0.1454651247363444,0.2973568994858941,1433883759.96,1,0,208580080.0,1,0
9.62,0.1,0.3241914676332648,782175300.0,2,1,78217530.0,0,0
8.59,0.4230769230769231,0.5487372572337059,677885260.0,2,1,286797610.0,3,1
12.53,0.0737166599651521,0.2581256493481525,2334323965.32,2,1,172078566.0,5,0
10.38,0.0992063492063492,0.2938933006212105,1314054504.0,2,1,130362550.0,4,0
6.91,0.3571428571428571,0.5449909378083742,547522710.0,2,1,195543825.0,3,1
11.14,0.2083333333333333,0.4424728668201896,625740240.0,2,1,130362550.0,2,0
13.57,0.0833333333333333,0.264304771409939,312870120.0,2,1,26072510.0,2,1
11.26,0.3888888888888889,0.5167772175384687,938610360.0,1,1,365015140.0,2,0
10.99,0.2134782608695652,0.2688926688820423,1499169325.0,3,0,320040060.25,5,0
5.42,0.09375,0.3244755658050041,2085800800.0,2,1,195543825.0,2,0
13.04,0.1209677419354838,0.1946865904396615,1616495620.0,2,0,195543825.0,2,0
6.54,0.3428571428571428,0.5552727626489835,912537850.0,2,1,312870120.0,4,1
8.0,0.0862128422649838,0.3064842273442701,1512101289.96,2,1,130362550.0,1,0
6.91,0.1,0.3495945750727324,1564350600.0,3,1,156435060.0,2,0
21.36,0.0868055555555555,0.2199166987837571,750888288.0,2,1,65181274.99999999,0,1
9.99,0.198019801980198,0.4916755107045792,921663228.5,2,1,182507570.0,3,0
7.75,0.1354166666666666,0.314768112683061,1251480480.0,1,1,169471315.0,0,0
15.33,0.3144654088050314,0.4681976200608829,829105818.0,2,1,260725100.0,3,1
8.9,0.0533333333333333,0.2450710105055165,3910876500.0,3,1,208580080.0,2,0
14.84,0.0954816709292412,0.3596985802416389,1529152711.5,2,1,146006056.0,5,1
5.42,0.2285714285714285,0.4452029020458901,912537850.0,3,1,208580080.0,0,0
10.99,0.1511944360447535,0.2324015600406958,1034661486.84,2,1,156435060.0,0,0
8.49,0.1148936170212766,0.3287118338373086,3063519925.0,3,1,351978885.0,2,0
11.83,0.16,0.4205802085213426,3910876500.0,1,1,625740240.0,0,0
6.76,0.0191616766467065,0.3054670471109959,2177054585.0,3,1,41716016.0,5,0
9.63,0.1338443754943116,0.3003461510474605,1714215387.48,3,1,229438088.0,2,0
10.99,0.24,0.3808390327965414,782175300.0,1,1,187722072.0,5,0
9.91,0.0666666666666666,0.3590489566102557,2346525900.0,3,1,156435060.0,2,0
18.09,0.1277139208173691,0.195070376921543,2041477533.0,3,0,260725100.0,4,0
10.99,0.0454545454545454,0.1531298854473721,1433988050.0,2,1,65181274.99999999,2,0
11.12,0.0283018867924528,0.3172614532396068,2763686060.0,2,1,78217530.0,2,0
15.27,0.3273026315789473,0.5680222586728025,792604304.0,3,1,259421474.5,4,1
10.75,0.1415094339622641,0.2020162149488596,2763686060.0,2,1,391087650.0,3,0
15.31,0.1901960784313725,0.4609951243143618,3324245025.0,1,0,632258367.5,5,0
10.99,0.3186533052039381,0.4964424552364802,1186403495.04,2,1,378051395.0,0,1
12.87,0.125,0.1908549787741462,1251480480.0,1,0,156435060.0,2,0
10.37,0.2238805970149253,0.5136565637207587,1746858170.0,3,1,391087650.0,1,0
10.59,0.416432057057057,0.6950002650729661,555657333.12,2,1,231393526.25,0,1
11.72,0.3472222222222222,0.5190663808534458,938610360.0,2,1,325906375.0,4,1
11.49,0.3012048192771084,0.3717887231343864,865607332.0,2,1,260725100.0,5,0
16.29,0.2197802197802197,0.5128315756828111,759231491.1999999,2,1,166864064.0,1,1
14.35,0.0747549019607843,0.3603705301822252,5318792040.0,3,1,397605777.5,5,0
7.9,0.2399923202457521,0.3867623630830761,3259168040.04,3,1,782175300.0,2,0
14.11,0.04,0.1816016829753492,1173262950.0,2,0,46930518.0,5,0
10.99,0.14,0.2829548113388478,1303625500.0,2,1,182507570.0,4,0
18.53,0.0935064935064935,0.2544793294831417,2007583270.0,3,1,187722072.0,3,1
19.04,0.28,0.3858358938951842,1303625500.0,2,0,365015140.0,4,0
14.27,0.0600150037509377,0.124744703097042,1042639674.9,3,0,62574023.99999999,1,0
7.51,0.32,0.5426815855495004,1303625500.0,1,1,417160160.0,4,0
12.42,0.2453012321844301,0.5380639586057668,2295814868.05,3,1,563166216.0,3,0
14.65,0.1052631578947368,0.3941114016617872,990755380.0,1,1,104290040.0,4,0
15.21,0.0462962962962962,0.1258483929551256,2815831080.0,2,0,130362550.0,0,1
11.49,0.2666666666666666,0.3797363531107836,2346525900.0,2,1,625740240.0,5,0
13.85,0.2857142857142857,0.4838524096626019,1825075700.0,2,1,521450199.9999999,5,0
9.91,0.3905172413793103,0.6839648451404526,756102790.0,2,1,295271175.75,3,1
7.9,0.217391304347826,0.32849287093907,1199335460.0,3,1,260725100.0,1,0
13.49,0.1311475409836065,0.1857157762561451,3180846220.0,3,1,417160160.0,2,0
7.29,0.0689655172413793,0.3590422242982016,1512205580.0,3,1,104290040.0,4,0
10.65,0.047692478896078,0.2269531524002907,1640039096.53,3,1,78217530.0,5,1
16.29,0.1379310344827586,0.2937625748430891,756102790.0,2,1,104290040.0,5,1
10.99,0.1769911504424778,0.4164426940493738,2946193630.0,3,1,521450199.9999999,3,1
7.51,0.2,0.4970047937430837,391087650.0,2,1,78217530.0,4,1
7.88,0.161987041036717,0.2787011628796719,1207157213.0,3,1,195543825.0,0,0
11.14,0.1333333333333333,0.2353988705445113,1955438250.0,2,1,260725100.0,1,0
5.42,0.0259259259259259,0.2730900421435887,1407915540.0,3,1,36501514.0,3,0
8.9,0.24,0.421014486301864,782175300.0,2,1,187722072.0,5,1
14.61,0.2285714285714285,0.4415963770070571,1095045420.0,2,1,250296096.0,2,0
15.57,0.1282051282051282,0.2502334249360554,2033655780.0,2,0,260725100.0,3,1
